Name,Y,X,Type,Platform / Entrance,Line,Step Free,Description
North Ealing,51.51807,-0.28838,Station,Platform,Piccadilly,,
North Greenwich,51.50056,0.0036,Station,Dome entrance,Jubilee,No,
North Harrow,51.58503612,-0.362595264,Station,Platform,Metropolitan,,
North Wembley,51.56258091,-0.304072648,Station,Platform,Bakerloo,,
Northfields,51.499856,-0.313188,Station,Platform,Piccadilly,,
Northolt,51.548467,-0.36968,Station,Platform,Central,,
Northwick Park,51.57850117,-0.317857023,Station,Platform,Metropolitan,,
Northwood,51.61098984,-0.423584422,Station,Platform,Metropolitan,No,
Northwood Hills,51.60043795,-0.408812575,Station,Platform,Metropolitan,,
Notting Hill Gate,51.509028,-0.1962847,Station,Entrance,Central and Circle and District,No,
Oakwood,51.64739,-0.13192,Station,platforms,Piccadilly,,
Old Street,51.52618,-0.08751,Station, ??,Northern and Northern City,No,
Osterley,51.481569,-0.35196,Station,Platform,Piccadilly,,
Oval,51.48214,-0.11284,Station,Entrance,Northern,,
Oxford Circus,51.51517,-0.14119,Station,Argyle Street entrance,Bakerloo and Central and Victoria,No,
Paddington,51.5151846554,-0.1755388079,Station,C/D Platform,Circle and District,No,
Paddington (HandC Line),51.519096707,-0.176968859,Station,H+C Platform,Hammersmith and City,No,
Park Royal,51.52671,-0.28417,Station,Platform,Piccadilly,,
Parsons Green,51.47488,-0.20205,Station,Platform,District,No,
Perivale,51.536673,-0.32391,Station,Platform,Central,,
Piccadilly Circus,51.51022,-0.13392,Station,Trocadero / Shaftesbury Avenue entrance,Piccadilly and Bakerloo,No,
Pimlico,51.489081,-0.133037,Station,Entrance,Victoria,,
Pinner,51.59270271,-0.380539158,Station,Platform,Metropolitan,,
Plaistow,51.53122,0.01659,Station,platforms,District and Hammersmith and City,,
Preston Road,51.57229051,-0.295813875,Station,Platform,Metropolitan,,
Putney Bridge,51.46868,-0.2088141,Station,East bound platform,District,,
Queen's Park,51.534179,-0.205257721,Station,Platform,Bakerloo,,
Queensbury,51.59437,-0.28655,Station,Platform,Jubilee,,
Queensway,51.510484,-0.18705,Station,Entrance,Central,,
Ravenscourt Park,51.49419,-0.2356,Station,Platform,District,,
Rayners Lane,51.57534,-0.3724,Station,Platform,Metropolitan and Piccadilly,No,
Redbridge,51.57618,0.04542,Station,Entrance,Central,,
Regent's Park,51.52344,-0.14713,Station, ??,Bakerloo,,
Richmond,51.4632474,-0.300618047,Station,Platform,District,,
Rickmansworth,51.64027898,-0.473521454,Station,Platform,Metropolitan,No,
Roding Valley,51.61691,0.04264,Station,platforms,Central,,
Rotherhithe,51.50089,-0.05211,Station,Entrance,East London,,
Royal Oak,51.519383,-0.187785,Station,Platform,Hammersmith and City,,
Ruislip,51.57146,-0.42157,Station,Platform,Metropolitan and Piccadilly,,
Ruislip Gardens,51.560711,-0.410587,Station,Platform,Central,,
Ruislip Manor,51.57349,-0.41185,Station,Platform,Metropolitan and Piccadilly,,
Russell Square,51.523243,-0.124336,Station,Entrance,Piccadilly,,
St.James's Park,51.49971,-0.13394,Station,Broadway exit,Circle and District,,
Seven Sisters,51.58318,-0.07495,Station,mainline platforms,Victoria,,
Shadwell,51.51115,-0.05693,Station,Tube Entrance,East London,,
Shepherd's Bush,51.50474,-0.21881,Station,Old ticket hall,Central,,
Shepherd's Bush Market,51.506063,-0.226231,Station,Platform,Hammersmith and City,,
Sloane Square,51.49258474,-0.156090904,Station,C/D Platform,Central and District,,
Snaresbrook,51.58002,0.02133,Station,platforms,Central,,
South Acton,51.49960784,-0.270187631,Station,Platform,London Overground,,
South Ealing,51.500801,-0.307856,Station,Platform,Piccadilly,,
South Harrow,51.56461,-0.3521,Station,Platform,Piccadilly,,
South Kensington,51.494066,-0.172791,Station,C/D Platform,Circle and District and Piccadilly,No,
South Kenton,51.57044666,-0.308566354,Station,Platform,Bakerloo,,
South Ruislip,51.556795,-0.398708,Station,Platform,Central,,
South Wimbledon,51.41543048,-0.192262754,Station,Entrance,Northern,,
South Woodford,51.59088,0.02726,Station,platforms,Central,,
Southfields,51.444941,-0.206466,Station,Entrance,District,,
Southgate,51.6324,-0.12765,Station,entrance,Piccadilly,,
Southwark,51.50384,-0.10478,Station,Entrance,Jubilee,,
St.John's Wood,51.53472,-0.17428,Station,Entrance,Jubilee,No,
St.Paul's,51.515285,-0.097598,Station,Entrance,Central,,
Stamford Brook,51.494935,-0.24619,Station,Platform,District,,
Stanmore,51.61895,-0.30241,Station,Platform,Jubilee,No,
Stepney Green,51.521884,-0.046546,Station,Entrance,District and Hammersmith and City,,
Stockwell,51.47224,-0.1227,Station,Entrance,Northern and Victoria,,
Stonebridge Park,51.54402388,-0.275978856,Station,Platform,Bakerloo,,
Stratford,51.541146,-0.002675,Station,Entrance,Central and Jubilee and London Overground,,
Sudbury Hill,51.556998,-0.335949,Station,Entrance,Piccadilly,,
Sudbury Town,51.55093,-0.31598,Station,Platform,Piccadilly,,
Surrey Quays,51.49365,-0.04816,Station,Platforms,East London and Jubilee,,
Swiss Cottage,51.54333,-0.17436,Station,Avenue Road entrance,Jubilee,,
Temple,51.51114,-0.11341,Station,Entrance,Circle and District,,
Theydon Bois,51.67246,0.10354,Station,platforms,Central,,
Tooting Bec,51.43578971,-0.159635693,Station,Entrance,Northern,,
Tooting Broadway,51.42780008,-0.167910811,Station,Entrance,Northern,,
Tottenham Court Road,51.51672074,-0.13093911,Station,Entrance,Central and Northern,No,
Tottenham Hale,51.588878,-0.059808,Station,Mainline Platform,Victoria,,
Totteridge and Whetstone,51.63022,-0.17917,Station,Entrance,Northern,,
Tower Hill,51.50991,-0.076813,Station,Entrance,Circle and District,No,
