Name,From,To,Type,lossCoeff,max_flow,min_flow,ReturnFlowProportion,cost,Q_var,networkCosts_var,Description
AG1_C5,AG1,C5,return_link,1,10000000,0,0.560530672,,NULL,,
AG1_GW1,AG1,GW1,return_link,1,10000000,0,0.439469328,,NULL,,
AG2_C4,AG2,C4,return_link,1,10000000,0,0.230188689,,NULL,,
AG2_GW2,AG2,GW2,return_link,1,10000000,0,0.769811311,,NULL,,
AG4_D61,AG4,D61,return_link,1,10000000,0,0.820191166,,NULL,,
AG4_GW4,AG4,GW4,return_link,1,10000000,0,0.179808834,,NULL,,
AG3_C305,AG3,C305,return_link,1,10000000,0,0.219736834,,NULL,,
AG3_GW3,AG3,GW3,return_link,1,10000000,0,0.780263166,,NULL,,
AG5_C307,AG5,C307,return_link,1,10000000,0,0.249999994,,NULL,,
AG5_GW5,AG5,GW5,return_link,1,10000000,0,0.750000006,,NULL,,
AG7_C8,AG7,C8,return_link,1,10000000,0,0.449999977,,NULL,,
AG7_GW7,AG7,GW7,return_link,1,10000000,0,0.550000023,,NULL,,
AG6_GW6,AG6,GW6,return_link,1,10000000,0,1,,NULL,,
AG8_D517,AG8,D517,return_link,1,10000000,0,0.789919711,,NULL,,
AG8_GW8,AG8,GW8,return_link,1,10000000,0,0.210080289,,NULL,,
AG9_D509,AG9,D509,return_link,1,10000000,0,0.299999997,,NULL,,
AG9_GW9,AG9,GW9,return_link,1,10000000,0,0.700000003,,NULL,,
GW1_C3,GW1,C3,DEF_link,1,20.76,0,,,NULL,,
GW1_Redding,GW1,Redding,DEF_link,1,10000000,0,,,NULL,,
GW2_dum4,GW2,dum4,DEF_link,1,153.23,0,,,NULL,,
GW4_C14,GW4,C14,DEF_link,1,110.47,0,,,NULL,,
GW3_C303,GW3,C303,DEF_link,1,170.98,0,,,NULL,,
GW3_UD3,GW3,UD3,DEF_link,1,10000000,0,,,NULL,,
GW5_C26,GW5,C26,DEF_link,1,225.65,0,,,NULL,,
GW5_UD5,GW5,UD5,DEF_link,1,1000000,0,,,NULL,,
GW5_YUBA,GW5,YUBA,DEF_link,1,10000000,0,,,NULL,,
GW7_C34,GW7,C34,DEF_link,1,96.02,0,,,NULL,,
GW7_SAC,GW7,SAC,DEF_link,1,31.1,0,,,NULL,,
GW6_C17,GW6,C17,DEF_link,1,148.06,0,,,NULL,,
GW6_UD6,GW6,UD6,DEF_link,1,10000000,0,,,NULL,,
GW6_NAPA,GW6,NAPA,DEF_link,1,1000000,0,,,NULL,,
GW8_C36,GW8,C36,DEF_link,1,208.38,0,,,NULL,,
GW8_UD8,GW8,UD8,DEF_link,1,1000000,0,,,NULL,,
GW8_STOC,GW8,STOC,DEF_link,1,10,0,,,NULL,,
GW9_C68,GW9,C68,DEF_link,1,73.77,0,,,NULL,,
GW9_UD9,GW9,UD9,DEF_link,1,1000000,0,,,NULL,,
SR4_D5,SR4,D5,DEF_link,1,10000000,0,,,NULL,,
SR3_D5,SR3,D5,DEF_link,1,10000000,0,,,NULL,,
SR3_dum1,SR3,dum1,DEF_link,0.97,10000000,0,,,NULL,,
SRBBL_C9,SRBBL,C9,DEF_link,1,10000000,0,,,NULL,,
SR6_C80,SR6,C80,DEF_link,0.96,10000000,0,,,NULL,,
SR6_C31,SR6,C31,DEF_link,1,10000000,0,,,NULL,,
SR6_YUBA,SR6,YUBA,cost_link,1,10000000,0,,50000,NULL,NULL,
SRNBB_C26,SRNBB,C26,DEF_link,0.96,10000000,0,,,NULL,,
