Name ,x,y,Location source,Type,WRSE-Ref,Zone generic,Company,WRZ,Earliest Start Year,Year Activated,Asset life,DO,Demand flow,Demand + THR flow,DI,THR,Loss,Financial_ cost,Financial cost spent,Financial vopex,Financial vopex spent,EnvSoc cost,EnvSoc cost spent,EnvSoc vopex,EnvSoc vopex spent,OneOff cost,OneOff cost spent,Carbon const,Carbon capital cost spent,Carbon fopex,Carbon fopex cost spent,Carbon vopex,Carbon vopex cost spent,OneOff carbon,OneOff carbon cost spent,Ratchet,ExDO VOPEX (p/m3),Percentage of ExDO VOPEX (calc),Percentage of ExDO VOPEX (round upto 5%),Description
FS01,536479,173131,Centre of zone,Junction,,FS01,TWU,HON,,NULL,,,NULL,NULL,,,,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,,,,Honor Oak
Sop057j,615963,161363,Centre of zone,Junction,,Sop057j,TWU,BRO,,NULL,,,NULL,NULL,,,,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,,,,SEW Broadoak Junction
UpperThames,477142,187148,Centre of zone,Junction,,Thames,TWU,UTR,,NULL,,,NULL,NULL,,,,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,,,,TW River Thames Junction
Sop684_ph2b,463400,102000,Water company defined,Desalination,PRT-Desalination-PRT-0030,WRZ08,PRT,PRT,2021,NULL,25,arr/Array_Node_DO.csv,NULL,NULL,,,,arr/Array_Node_Financial_Cost.csv,NULL,1,NULL,arr/Array_Node_EnvSoc_Cost.csv,NULL,1,NULL,arr/Array_Node_OneOff_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,1,,,,Portsmouth Harbour Desalination Plant
Sop685_ph2b,470700,105400,Water company defined,Effluent reuse,PRT-Effluent reuse-PRT-0060,WRZ08,PRT,PRT,2020,NULL,60,arr/Array_Node_DO.csv,NULL,NULL,,,,arr/Array_Node_Financial_Cost.csv,NULL,1,NULL,arr/Array_Node_EnvSoc_Cost.csv,NULL,1,NULL,arr/Array_Node_OneOff_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,1,,,,Budds Farm Effluent reuse
Sop686_ph2b,462900,111800,Water company defined,Existing groundwater,PRT-Existing groundwater-PRT-0040,WRZ08,PRT,PRT,2016,NULL,60,arr/Array_Node_DO.csv,NULL,NULL,,,,arr/Array_Node_Financial_Cost.csv,NULL,1,NULL,arr/Array_Node_EnvSoc_Cost.csv,NULL,1,NULL,arr/Array_Node_OneOff_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,1,,,,Worlds End Maximise DO
Sop687_ph2b,444000,111200,Water company defined,Existing surface water,PRT-ESW-PRT-0070,WRZ08,PRT,PRT,2018,NULL,60,arr/Array_Node_DO.csv,NULL,NULL,,,,arr/Array_Node_Financial_Cost.csv,NULL,1,NULL,arr/Array_Node_EnvSoc_Cost.csv,NULL,1,NULL,arr/Array_Node_OneOff_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,1,,,,River Itchen 10 Ml/d
Sop688_ph2b,444000,111200,Water company defined,Existing surface water,PRT-ESW-PRT-0071,WRZ08,PRT,PRT,2018,NULL,60,arr/Array_Node_DO.csv,NULL,NULL,,,,arr/Array_Node_Financial_Cost.csv,NULL,1,NULL,arr/Array_Node_EnvSoc_Cost.csv,NULL,1,NULL,arr/Array_Node_OneOff_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,1,,,,River Itchen 20 Ml/d
Sop689_ph2b,444000,111200,Water company defined,Existing surface water,PRT-ESW-PRT-0072,WRZ08,PRT,PRT,2018,NULL,60,arr/Array_Node_DO.csv,NULL,NULL,,,,arr/Array_Node_Financial_Cost.csv,NULL,1,NULL,arr/Array_Node_EnvSoc_Cost.csv,NULL,1,NULL,arr/Array_Node_OneOff_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,1,,,,River Itchen 30 Ml/d
Sop690_ph2b,471400,109700,Water company defined,Reservoir,PRT-RES-PRT-0010,WRZ08,PRT,PRT,2022,NULL,80,arr/Array_Node_DO.csv,NULL,NULL,,,,arr/Array_Node_Financial_Cost.csv,NULL,1,NULL,arr/Array_Node_EnvSoc_Cost.csv,NULL,1,NULL,arr/Array_Node_OneOff_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,1,,,,R013 Havant Thicket A
