,,NYAA,DYAA,DYCP,MDO
WEF1319_ph2b,4,0.346334557,0.346334557,0.346334557,0.346334557
WEF1320_ph2b,4,0.440051335,0.440051335,0.440051335,0.440051335
WEF1321_ph2b,4,0.249654066,0.249654066,0.249654066,0.249654066
WEF1322_ph2b,4,0.42111499,0.42111499,0.42111499,0.42111499
WEF1323_ph2b,4,0.112962187,0.112962187,0.112962187,0.112962187
WEF1324_ph2b,4,0.467346813,0.467346813,0.467346813,0.467346813
WEF1325_ph2b,4,0.593809035,0.593809035,0.593809035,0.593809035
WEF1326_ph2b,4,0.083809713,0.083809713,0.083809713,0.083809713
WEF1327_ph2b,4,0.42111499,0.42111499,0.42111499,0.42111499
WEF1328_ph2b,4,0.066133544,0.066133544,0.066133544,0.066133544
WEF1329_ph2b,4,0.179991187,0.179991187,0.179991187,0.179991187
WEF1330_ph2b,4,0.228696099,0.228696099,0.228696099,0.228696099
WEF1331_ph2b,4,0.141358246,0.141358246,0.141358246,0.141358246
WEF1332_ph2b,4,0.42111499,0.42111499,0.42111499,0.42111499
WEF1333_ph2b,4,0.28272555,0.28272555,0.28272555,0.28272555
WEF1334_ph2b,4,0.359229979,0.359229979,0.359229979,0.359229979
WEF1335_ph2b,4,0.049599839,0.049599839,0.049599839,0.049599839
WEF1336_ph2b,4,0.28272555,0.28272555,0.28272555,0.28272555
WEF1337_ph2b,4,0.209691992,0.209691992,0.209691992,0.209691992
LEA1166_ph2b,4,0.12,0.12,0.12,0.12
LEA1167_ph2b,4,0.2,0.2,0.2,0.2
LEA1168_ph2b,4,0.8,0.8,0.8,0.8
LEA1169_ph2b,4,2,2,2,2
LEA1170_ph2b,4,1.811698942,1.811698942,1.811698942,1.811698942
LEA1181_ph2b,4,1.083102012,1.083102012,1.083102012,1.083102012
LEA1182_ph2b,4,1.02,1.02,1.02,1.02
LEA1183_ph2b,4,0.2,0.2,0.2,0.2
LEA1184_ph2b,4,0.8,0.8,0.8,0.8
LEA1185_ph2b,4,2,2,2,2
LEA1016_ph2b,4,2.329342248,2.329342248,2.329342248,2.329342248
LEA1017_ph2b,4,1.606566413,1.606566413,1.606566413,1.606566413
LEA1018_ph2b,4,0.2,0.2,0.2,0.2
LEA1019_ph2b,4,0.2,0.2,0.2,0.2
LEA1020_ph2b,4,0.8,0.8,0.8,0.8
LEA1021_ph2b,4,2,2,2,2
LEA1022_ph2b,4,3.841035936,3.841035936,3.841035936,3.841035936
LEA1024_ph2b,4,0.98,0.98,0.98,0.98
LEA1025_ph2b,4,0.8,0.8,0.8,0.8
LEA1026_ph2b,4,2,2,2,2
LEA1027_ph2b,4,4.770323876,4.770323876,4.770323876,4.770323876
LEA1028_ph2b,4,0.404810936,0.404810936,0.404810936,0.404810936
LEA1029_ph2b,4,0.12,0.12,0.12,0.12
LEA1404_ph2b,4,0.2,0.2,0.2,0.2
LEA1030_ph2b,4,0.8,0.8,0.8,0.8
LEA1031_ph2b,4,2,2,2,2
LEA1032_ph2b,4,1.612850751,1.612850751,1.612850751,1.612850751
LEA1034_ph2b,4,0.1,0.1,0.1,0.1
LEA1035_ph2b,4,0.2,0.2,0.2,0.2
LEA1036_ph2b,4,0.8,0.8,0.8,0.8
LEA1037_ph2b,4,2,2,2,2
LEA1038_ph2b,4,2.732240752,2.732240752,2.732240752,2.732240752
MET1208_ph2b,4,3.615473317,3.615473317,3.615473317,3.615473317
MET1145_ph2b,4,3.615473317,3.615473317,3.615473317,3.615473317
MET1209_ph2b,4,4.911915948,4.911915948,4.911915948,4.911915948
MET1210_ph2b,4,5.204680591,5.204680591,5.204680591,5.204680591
MET1146_ph2b,4,4.825988057,4.825988057,4.825988057,4.825988057
MET1211_ph2b,4,4.825988057,4.825988057,4.825988057,4.825988057
MET1212_ph2b,4,6.214590813,6.214590813,6.214590813,6.214590813
MET1213_ph2b,4,6.574389906,6.574389906,6.574389906,6.574389906
MET1214_ph2b,4,7.121314258,7.121314258,7.121314258,7.121314258
MET1215_ph2b,4,7.121314258,7.121314258,7.121314258,7.121314258
MET1216_ph2b,4,8.684667098,8.684667098,8.684667098,8.684667098
MET1217_ph2b,4,9.356285634,9.356285634,9.356285634,9.356285634
MET1218_ph2b,4,10.51001608,10.51001608,10.51001608,10.51001608
MET1147_ph2b,4,10.51001608,10.51001608,10.51001608,10.51001608
MET1219_ph2b,4,12.33136097,12.33136097,12.33136097,12.33136097
MET1220_ph2b,4,13.00953415,13.00953415,13.00953415,13.00953415
MET1221_ph2b,4,2.860632909,2.860632909,2.860632909,2.860632909
MET1222_ph2b,4,2.860632909,2.860632909,2.860632909,2.860632909
MET1223_ph2b,4,4.09960727,4.09960727,4.09960727,4.09960727
MET1224_ph2b,4,4.393752288,4.393752288,4.393752288,4.393752288
MET1225_ph2b,4,5.151142505,5.151142505,5.151142505,5.151142505
MET1226_ph2b,4,5.151142505,5.151142505,5.151142505,5.151142505
